Reference,Quantity,Part Name,Value/Specification,Package,Description,Estimated Unit Cost (RM),Estimated Total (RM)
U1,1,ESP32-C3 SuperMini,ESP32-C3 Wi-Fi + BLE,Through-Hole Module,Main Microcontroller,18.00,18.00
U2,1,DS3231M RTC,DS3231M,SOIC-16,Real-Time Clock,12.00,12.00
U3,1,TP4056 Charger IC,TP4056-42-ESOP8,ESOP-8,Li-ion Battery Charger,4.00,4.00
U4,1,GY-521 MPU6050,GY-521 Module,Module,Accelerometer & Gyroscope,8.00,8.00
U5,1,Voltage Regulator,AP2112K-3.3,SOT-23-5,3.3V LDO Regulator,3.00,3.00
Q1,1,NPN Transistor,2N2222,TO-92,Vibration Motor Driver,1.00,1.00
D1,1,LED,Red LED,0805,Status Indicator,1.00,1.00
D4,1,Schottky Diode,1N5819WS,SOD-323,Flyback Protection,1.00,1.00
R1,1,Resistor,1kΩ,0805,Motor Driver Base Resistor,0.10,0.10
R2,1,Resistor,2kΩ,0805,LED Current Limiting,0.10,0.10
R3,1,Resistor,2kΩ,0805,LED Current Limiting,0.10,0.10
R5,1,Resistor,10kΩ,0805,Pull-up/Pull-down Resistor,0.10,0.10
R6,1,Resistor,4.7kΩ,0805,I²C SDA Pull-up,0.10,0.10
R7,1,Resistor,4.7kΩ,0805,I²C SCL Pull-up,0.10,0.10
C1,1,Capacitor,10µF,0805,Power Supply Filter,0.50,0.50
C2,1,Capacitor,10µF,0805,Power Supply Filter,0.50,0.50
C3,1,Capacitor,1µF,0805,Voltage Regulator Capacitor,0.50,0.50
C4,1,Capacitor,1µF,0805,Voltage Regulator Capacitor,0.50,0.50
SW1,1,Tactile Switch,6×6mm,Through-Hole,Time Button,0.50,0.50
SW2,1,Tactile Switch,6×6mm,Through-Hole,Menu Button,0.50,0.50
SW3,1,Tactile Switch,6×6mm,Through-Hole,SOS Button,0.50,0.50
M1,1,Coin Vibration Motor,3V Coin Motor,10mm,Vibration Feedback,10.00,10.00
BT1,1,Li-Po Battery Connector,2-Pin JST-PH,Connector,Battery Connection,2.00,2.00
J1,1,Magnetic Charging Connector,2-Pin 4.00mm Pitch,Connector,Magnetic Charging Interface,8.00,8.00
BAT1,1,Li-Po Battery,3.7V Rechargeable,Li-Po,Power Source,25.00,25.00
PCB1,1,Custom PCB,2-Layer FR4 1.0mm ENIG,36×46mm,Custom PCB Prototype,282.00,282.00
CASE1,1,3D Printed Enclosure,FDM Printed Black PLA/PETG,Custom,Watch Housing,16.00,16.00
