Comment,Description,Designator,Quantity,Man. Part Number

"Battery_Cell","","BT1","1",""
"10uF","","C1, C2","2",""
"1uF","","C3, C4","2",""
"LED","","D1","1",""
"1N5819WS","","D4","1",""
"Mag_Charge","","J1","1",""
"Motor_DC","","M1","1",""
"2N2222","","Q1","1",""
"220 O","","R1","1",""
"1kO","","R2","1",""
"2kO","","R3","1",""
"100kO","","R4, R5","2",""
"4.7k","","R6, R7","2",""
"Time","","SW1","1",""
"menu","","SW2","1",""
"SOS","","SW3","1",""
"ESP32-C3_SUPERMINI_TH","","U1","1",""
"DS3231M_","","U2","1",""
"TP4056-42-ESOP8","","U3","1",""
"GY-521","","U4","1",""
"AP2112K-3.3","","U5","1",""
