Item,Reference,Quantity,Value/Specification,Package,Notes
ESP32-C3 SuperMini,U1,1,ESP32-C3 SuperMini Through-Hole,Module,Main microcontroller
DS3231M RTC,U2,1,DS3231M,SOIC-16,Real-Time Clock
TP4056 Charger,U3,1,TP4056-42-ESOP8,ESOP-8,Li-ion battery charger
GY-521 MPU6050,U4,1,GY-521 Module,Module,Accelerometer/Gyroscope
AP2112K-3.3,U5,1,3.3V LDO Regulator,SOT-23-5,Voltage regulator
2N2222,Q1,1,NPN Transistor,TO-92,Vibration motor driver
Capacitor,C1,1,10uF,0805,Power filter
Capacitor,C2,1,10uF,0805,Power filter
Capacitor,C3,1,1uF,0805,Regulator capacitor
Capacitor,C4,1,1uF,0805,Regulator capacitor
LED,D1,1,Red LED,0805,Status indicator
Schottky Diode,D4,1,1N5819WS,SOD-323,Flyback diode
Resistor,R1,1,1kΩ,0805,Transistor base resistor
Resistor,R2,1,2kΩ,0805,LED current limiting
Resistor,R3,1,2kΩ,0805,LED current limiting
Resistor,R5,1,10kΩ,0805,Pull-up/Pull-down
Resistor,R6,1,4.7kΩ,0805,I2C SDA pull-up
Resistor,R7,1,4.7kΩ,0805,I2C SCL pull-up
Push Button,SW1,1,Tactile Switch,6x6mm,Time button
Push Button,SW2,1,Tactile Switch,6x6mm,Menu button
Push Button,SW3,1,Tactile Switch,6x6mm,SOS button
Coin Vibration Motor,M1,1,3V Coin Vibration Motor,10mm,Vibration feedback
Battery Connector,BT1,1,1S Li-Po Connector,2-Pin,JST-PH or equivalent
Magnetic Charging Connector,J1,1,2-Pin Magnetic Charging Port,2-Pin,Charging interface
PCB,PCB1,1,2-Layer FR4 1.0mm ENIG Matte Black,36x46mm,Manufactured by PCBWay
